,id,name,text,quantity,unit,ingredient
0,1,roasted rolled turkey breast garlic herb butter,5 tbsp butter softened (divided),5,tbsp,butter
1,1,roasted rolled turkey breast garlic herb butter,6 cloves garlic minced,6,cloves,garlic
2,1,roasted rolled turkey breast garlic herb butter,"2 tbsp fresh herbs (thyme, rosemary, sage and parsley) minced",2,tbsp,"fresh herbs (thyme, rosemary, sage and parsley)"
3,1,roasted rolled turkey breast garlic herb butter,1 tsp fresh lemon zest ,1,tsp,fresh lemon zest
4,1,roasted rolled turkey breast garlic herb butter,1/2 tsp salt ,1/2,tsp,salt
5,1,roasted rolled turkey breast garlic herb butter,"3 lb turkey breast boneless, skin-on",3,lb,turkey breast
6,1,roasted rolled turkey breast garlic herb butter,1 tsp salt ,1,tsp,salt
7,1,roasted rolled turkey breast garlic herb butter,1/2 tsp pepper ,1/2,tsp,pepper
8,1,roasted rolled turkey breast garlic herb butter,  parsley for garnish,N/A,N/A,parsley
9,2,white chocolate cranberry cookies,2 cups Blanched Almond Flour ,2,cups,Blanched Almond Flour
10,2,white chocolate cranberry cookies,½ tsp salt ,½,tsp,salt
11,2,white chocolate cranberry cookies,1 tsp baking soda ,1,tsp,baking soda
12,2,white chocolate cranberry cookies,1/3 cup butter melted,1/3,cup,butter
13,2,white chocolate cranberry cookies,1/3 cup maple syrup ,1/3,cup,maple syrup
14,2,white chocolate cranberry cookies,1 tsp vanilla extract ,1,tsp,vanilla extract
15,2,white chocolate cranberry cookies,1  egg large ,1,N/A,egg large
16,2,white chocolate cranberry cookies,2/3 cup dried cranberries ,2/3,cup,dried cranberries
17,2,white chocolate cranberry cookies,1/3 cup white chocolate chips ,1/3,cup,white chocolate chips
18,3,how to cook green beans,1 lb. green beans trimmed,1,lb.,green beans
19,3,how to cook green beans,1 tablespoon olive oil ,1,tablespoon,olive oil
20,3,how to cook green beans,2 tablespoon butter ,2,tablespoon,butter
21,3,how to cook green beans,"1/2 cup parsley fresh, chopped",1/2,cup,parsley
22,3,how to cook green beans,4  garlic cloves minced,4,N/A,garlic cloves
23,3,how to cook green beans,1 tablespoon Sriracha (or any other hot sauce),1,tablespoon,Sriracha
24,3,how to cook green beans,1/4 teaspoon salt and fresh cracked black pepper ,1/4,teaspoon,salt and fresh cracked black pepper
25,3,how to cook green beans,  Juice of 1/2 lemon ,N/A,N/A,Juice of 1/2 lemon
26,3,how to cook green beans,1/2 cup chicken stock ,1/2,cup,chicken stock
27,4,roasted sweet potatoes,3  sweet potatoes (peeled and cut into 1/2-inch pieces),3,N/A,sweet potatoes
28,4,roasted sweet potatoes,2 tablespoons olive oil or vegetable oil ,2,tablespoons,olive oil or vegetable oil
29,4,roasted sweet potatoes,2 tablespoons maple syrup ,2,tablespoons,maple syrup
30,4,roasted sweet potatoes,1/4 teaspoon kosher salt ,1/4,teaspoon,kosher salt
31,4,roasted sweet potatoes,1/4 teaspoon paprika ,1/4,teaspoon,paprika
32,4,roasted sweet potatoes,1/8 teaspoon cinnamon ,1/8,teaspoon,cinnamon
33,4,roasted sweet potatoes,1/2 teaspoon garlic powder ,1/2,teaspoon,garlic powder
34,4,roasted sweet potatoes, A pinch red pepper flakes ,N/A,A pinch,red pepper flakes
35,5,broccoli mushroom casserole,3 cups chopped broccoli ,3,cups,chopped broccoli
36,5,broccoli mushroom casserole,1 tbsp olive oil ,1,tbsp,olive oil
37,5,broccoli mushroom casserole,10 oz shiitake mushrooms sliced,10,oz,shiitake mushrooms
38,5,broccoli mushroom casserole,1/2  onion chopped,1/2,N/A,onion
39,5,broccoli mushroom casserole,4 cloves garlic finely chopped,4,cloves,garlic
40,5,broccoli mushroom casserole,1 cup heavy cream ,1,cup,heavy cream
41,5,broccoli mushroom casserole,1 cup chicken stock unsalted,1,cup,chicken stock
42,5,broccoli mushroom casserole,"1 1/2 cup cheddar cheese (shredded, divided)",1 1/2,cup,cheddar cheese
43,5,broccoli mushroom casserole,1 teaspoon garlic powder ,1,teaspoon,garlic powder
44,5,broccoli mushroom casserole,1 tsp salt ,1,tsp,salt
45,5,broccoli mushroom casserole,1/4 teaspoon black pepper ,1/4,teaspoon,black pepper
46,5,broccoli mushroom casserole,3 cups cooked white rice (which equals 1 cup of uncooked rice),3,cups,cooked white rice
47,6,the best cornbread,1/2 cup cornmeal ,1/2,cup,cornmeal
48,6,the best cornbread,1 1/2 cups flour ,1 1/2,cups,flour
49,6,the best cornbread,2/3 cup sugar ,2/3,cup,sugar
50,6,the best cornbread,1 tablespoon baking powder ,1,tablespoon,baking powder
51,6,the best cornbread,1/2 teaspoon salt ,1/2,teaspoon,salt
52,6,the best cornbread,1/3 cup oil ,1/3,cup,oil
53,6,the best cornbread,3 tablespoons melted butter ,3,tablespoons,melted butter
54,6,the best cornbread,1 tablespoon honey ,1,tablespoon,honey
55,6,the best cornbread,2  eggs beaten,2,N/A,eggs
56,6,the best cornbread,1 1/4 cups milk ,1 1/4,cups,milk
57,7,beer braised lamb shanks,3 tbsp olive oil ,3,tbsp,olive oil
58,7,beer braised lamb shanks,3-4  lamb shanks (trimmed of excess fat),3-4,N/A,lamb shanks
59,7,beer braised lamb shanks,1 tsp sea salt ,1,tsp,sea salt
60,7,beer braised lamb shanks,1 tsp black pepper ,1,tsp,black pepper
61,7,beer braised lamb shanks,1  red onion (diced),1,N/A,red onion
62,7,beer braised lamb shanks,2 tsp minced garlic ,2,tsp,minced garlic
63,7,beer braised lamb shanks,2 tbsp Rosemary (fresh and chopped),2,tbsp,Rosemary
64,7,beer braised lamb shanks,2  carrots (diced),2,N/A,carrots
65,7,beer braised lamb shanks,2  celery sticks (diced),2,N/A,celery sticks
66,7,beer braised lamb shanks,1 cup dark beer (such as Guinness),1,cup,dark beer
67,7,beer braised lamb shanks,"2 cups beef stock (low sodium or sodium free, if not - adjust the salt above)",2,cups,beef stock
68,7,beer braised lamb shanks,14 oz crushed tomatoes ,14,oz,crushed tomatoes
69,7,beer braised lamb shanks,2  dried bay leaves ,2,N/A,dried bay leaves
70,8,smooth hummus roasted garlic,2  15-ounce cans chickpeas ,2,N/A,15-ounce cans chickpeas
71,8,smooth hummus roasted garlic,2 tbsp extra virgin olive oil plus more for garnish,2,tbsp,extra virgin olive oil
72,8,smooth hummus roasted garlic,1/3 cup tahini (well-stirred),1/3,cup,tahini
73,8,smooth hummus roasted garlic,6  garlic cloves (roasted),6,N/A,garlic cloves
74,8,smooth hummus roasted garlic,2 tablespoons freshly squeezed juice ,2,tablespoons,freshly squeezed juice
75,8,smooth hummus roasted garlic,1 tsp ground cumin ,1,tsp,ground cumin
76,8,smooth hummus roasted garlic,1/16 tsp cayenne pepper ,1/16,tsp,cayenne pepper
77,8,smooth hummus roasted garlic,1/4 tsp kosher salt ,1/4,tsp,kosher salt
78,8,smooth hummus roasted garlic,1/4 cup water ,1/4,cup,water
79,8,smooth hummus roasted garlic,  Paprika and fresh minced parsley for garnish ,N/A,N/A,Paprika and fresh minced parsley for garnish
80,9,roasted spatchcock chicken,2 tablespoons chopped garlic ,2,tablespoons,chopped garlic
81,9,roasted spatchcock chicken,2 tablespoons Dijon mustard ,2,tablespoons,Dijon mustard
82,9,roasted spatchcock chicken,2 tablespoons dry white wine ,2,tablespoons,dry white wine
83,9,roasted spatchcock chicken,1 tablespoon soy sauce ,1,tablespoon,soy sauce
84,9,roasted spatchcock chicken,2 tablespoons olive oil ,2,tablespoons,olive oil
85,9,roasted spatchcock chicken,1 teaspoon Tabasco hot pepper sauce ,1,teaspoon,Tabasco hot pepper sauce
86,9,roasted spatchcock chicken,1 teaspoon herbes de Provence ,1,teaspoon,herbes de Provence
87,9,roasted spatchcock chicken,1/2 teaspoon salt ,1/2,teaspoon,salt
88,9,roasted spatchcock chicken,3 1/2 lb. chicken (1 chicken),3 1/2,lb.,chicken
89,10,cabbage beef soup,2 tablespoons olive oil ,2,tablespoons,olive oil
